train_loss_hist,test_loss_hist,train_accuracy_hist,test_accuracy_hist
7.076483726501465,6.874160015583039,0.390625,0.003
6.843739986419678,6.766195893287659,0.78125,0.0063
6.637701988220215,6.5535457015037535,1.5625,0.0107
6.427854537963867,6.2787991762161255,0.390625,0.0179
6.130842208862305,6.093417930603027,1.953125,0.0214
6.027159690856934,5.966967344284058,1.953125,0.0239
5.87922477722168,5.841374456882477,5.859375,0.0322
5.793951511383057,5.757266283035278,4.296875,0.0368
5.52190637588501,5.76634441614151,3.125,0.0377
5.483980178833008,5.783850038051606,5.46875,0.0362
5.37493896484375,5.532929766178131,8.203125,0.0515
5.269037246704102,5.5247113585472105,7.03125,0.056
5.184264183044434,5.447505092620849,7.421875,0.0604
5.360467433929443,5.437257516384125,9.765625,0.0597
5.106908321380615,5.360907661914825,10.546875,0.0643
4.886402130126953,5.317485058307648,12.109375,0.0718
4.815685749053955,5.295239329338074,14.453125,0.0767
4.774813652038574,5.220995748043061,11.328125,0.0773
4.729584693908691,5.205516266822815,15.234375,0.0797
4.7465338706970215,5.174510836601257,12.109375,0.0811
4.658085346221924,5.156295752525329,14.453125,0.0807
4.562729835510254,5.092019546031952,16.40625,0.0875
4.6061110496521,5.041303598880768,11.71875,0.0985
4.573033809661865,4.996722078323364,16.015625,0.0957
4.335939884185791,4.982061040401459,17.96875,0.0997
4.409297466278076,4.9894082903862,14.453125,0.0982
4.403547286987305,5.0122518062591555,18.75,0.105
4.387508869171143,4.9293200135231015,14.84375,0.1075
4.229466438293457,4.936770749092102,16.40625,0.1082
4.510560035705566,4.84828941822052,16.015625,0.114
4.1521406173706055,4.85386346578598,19.53125,0.1208
4.410689830780029,4.80502860546112,15.625,0.1211
4.010718822479248,4.830137586593628,21.484375,0.1167
4.245482921600342,4.801511216163635,17.96875,0.1249
4.194645881652832,4.802888286113739,18.75,0.1251
3.889251232147217,4.761245018243789,24.21875,0.1226
3.8438010215759277,4.770137751102448,26.5625,0.1254
3.8429503440856934,4.711070609092713,23.828125,0.1313
4.0633649826049805,4.715363895893097,19.140625,0.1299
3.9729838371276855,4.736534297466278,26.953125,0.1309
3.8802647590637207,4.758450436592102,26.953125,0.133
3.7453818321228027,4.686295926570892,26.953125,0.1322
3.6157238483428955,4.708351719379425,27.34375,0.1353
3.657402276992798,4.628775060176849,25.78125,0.14
3.8699252605438232,4.683229315280914,20.703125,0.1346
3.429534912109375,4.673568284511566,31.25,0.1375
3.609624147415161,4.686235809326172,27.734375,0.1351
3.4343717098236084,4.638666474819184,32.421875,0.141
3.5171992778778076,4.6476001858711244,27.734375,0.1441
3.609734296798706,4.693060863018036,29.6875,0.1375
