train_loss_hist,test_loss_hist,train_accuracy_hist,test_accuracy_hist
0.7694784849882126,0.7029915601015091,50.09862449378578,0.522
0.7039648294448853,0.700901210308075,49.01430055159894,0.47
0.6957115232944489,0.6955776065587997,51.12490835777126,0.518
0.6962056159973145,0.6958945095539093,50.15819194246613,0.502
0.6995316445827484,0.6932407766580582,52.757340106130435,0.512
0.69233138859272,0.7044206261634827,53.93327900258344,0.472
0.6964658051729202,0.696569636464119,53.19738645091468,0.534
0.6800668090581894,0.686630517244339,55.728348432481496,0.552
0.6942168921232224,0.7085198611021042,52.629531926406926,0.478
0.6826139986515045,0.6930157393217087,53.77969644602709,0.55
0.6951773464679718,0.6919045895338058,50.68147997835498,0.52
0.6858665943145752,0.6978379637002945,54.930406455104034,0.516
0.6772808134555817,0.6882294416427612,56.07304322022064,0.546
0.6944802403450012,0.7197989374399185,52.872465655983795,0.484
0.6898972988128662,0.6907162815332413,54.28992000942606,0.52
0.6751618981361389,0.6817642152309418,54.203541753944975,0.564
0.6908791214227676,0.7090789377689362,55.1477294546851,0.466
0.6790980100631714,0.689573660492897,53.134300595238095,0.544
0.6809127479791641,0.6927393525838852,55.265746098659406,0.532
0.681715801358223,0.7142021358013153,54.91019607073035,0.486
0.6799854785203934,0.6985621452331543,58.21567125750594,0.494
0.6920170038938522,0.7007058560848236,52.8692472681888,0.488
0.6800279766321182,0.6912454813718796,53.76286809628544,0.546
0.6834518164396286,0.7019816488027573,54.324858609132804,0.498
0.688629537820816,0.6975239813327789,54.743030826700185,0.526
0.683269277215004,0.6860776245594025,53.04584947982126,0.556
0.6867894530296326,0.7157201915979385,55.440166352464736,0.494
0.684311106801033,0.6934608817100525,54.977482195224134,0.548
0.6888034045696259,0.6945301443338394,54.562146522832,0.528
0.6858624666929245,0.6919018179178238,54.3693432743332,0.542
0.677145317196846,0.7216827571392059,54.51711636817484,0.464
0.683867484331131,0.6885999888181686,54.632732858539306,0.54
0.6763314455747604,0.6848771572113037,57.542728189149564,0.546
0.6729862540960312,0.6913923621177673,57.97429217288088,0.562
0.6816600859165192,0.6824882477521896,54.814817239212395,0.564
0.6768135130405426,0.6907991617918015,55.06988810920263,0.534
0.6868480294942856,0.6924065947532654,56.96036364509147,0.524
0.6690534204244614,0.6970615983009338,56.268873935204574,0.524
0.6798350214958191,0.6908210068941116,55.39183598659405,0.538
0.6768185347318649,0.6817436516284943,54.9394070311409,0.552
0.6794372051954269,0.7047827243804932,56.300730519480524,0.548
0.6709637641906738,0.6790018826723099,54.489105484569194,0.582
0.6543461978435516,0.6925815790891647,58.38785500453847,0.566
0.6641480028629303,0.6905158162117004,57.801944779011315,0.54
0.6671750247478485,0.6923714578151703,55.95134452241307,0.528
0.6741669625043869,0.6916572004556656,59.017758954754925,0.536
0.6760103702545166,0.6835629194974899,56.43459363217428,0.55
